AI_TASK,MODEL,VERSION,INPUT_TILE,PLATFORM,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY,NOTES,UPDATED BY,LAST UPDATE
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,256x192,jetson-nano2,tensorrt,GPU,F32,/,/,0.9,4.7,19.0,11.9,32.3,29.3,73.5,13.6,92603.7,47.4,2.1,45.8,1.8,7.4,8.0,63.1,32.6,0.0,38.5,27.2,4.2,1.4,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,256x192,jetson-nano2,onnxruntime,CPU,F32,/,/,0.9,4.7,19.0,12.2,306.6,58.8,377.5,2.6,18019.0,16.8,1.0,16.8,0.7,3.0,3.0,62.7,0.0,0.0,36.5,25.6,3.7,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,128x96,jetson-nano2,lne,CPU,F32,/,/,0.2,4.7,19.0,3.9,43.6,2.4,49.8,20.1,136581.3,17.0,0.9,16.9,0.7,3.0,4.0,58.3,0.0,0.0,36.2,25.4,3.5,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,3.8,117.2,4.2,125.2,8.0,54329.5,16.4,0.9,16.3,0.6,2.0,2.0,62.1,0.0,0.0,36.2,25.4,3.6,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,128x96,jetson-nano2,lne,GPU/CPU,F32,/,/,0.2,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,128x96,jetson-nano2,tensorrt,GPU,F16,/,/,0.2,4.7,9.5,3.8,38.3,3.1,45.3,22.1,150338.6,44.3,2.0,42.5,1.7,2.9,3.0,62.5,20.1,0.0,38.1,27.5,3.9,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,128x96,jetson-nano2,tensorrt,GPU,F32,/,/,0.2,4.7,19.0,3.9,32.6,3.1,39.6,25.2,171771.2,44.0,2.0,42.1,1.7,3.6,4.0,62.6,32.6,0.0,38.0,26.8,4.1,0.7,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,3.8,116.2,4.4,124.4,8.0,54696.4,16.8,0.9,16.7,0.7,2.1,4.0,62.0,0.0,0.0,36.1,25.4,3.6,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,192x144,jetson-nano2,lne,CPU,F32,/,/,0.5,4.7,19.0,9.1,84.9,14.7,108.7,9.2,62575.0,17.2,0.9,17.1,0.7,3.9,4.0,59.9,0.0,0.0,35.7,25.0,3.6,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.4,209.3,25.8,244.4,4.1,27830.0,18.0,1.0,17.9,0.7,2.3,3.0,62.2,0.0,0.0,36.1,25.4,3.6,0.3,,,
