var_0,var_1,var_2,time,memory
31,26,17,30.114477157592773,10.724235
5,19,51,30.27275514602661,11.338902
52,36,25,29.93539786338806,11.337528
32,24,35,30.113041877746586,11.338725
4,20,32,30.10248970985413,11.339382
21,50,39,29.79154253005981,11.340061
24,25,46,30.22457695007324,11.340007
20,14,14,30.116793870925903,9.865156
8,49,15,29.638077974319454,10.152978
6,37,11,29.23827075958252,8.997544
33,50,23,29.46402859687805,11.339601
50,8,16,29.82045078277588,10.442309
40,40,8,29.85592460632324,8.149998
46,49,10,30.207460403442383,8.710123
29,43,34,29.888922929763797,11.3402
36,38,37,30.0129075050354,11.340018
39,39,4,29.393705368041992,7.375618
35,47,46,30.227014541625977,11.340173
35,45,50,29.881657361984253,11.340559
21,24,45,30.333420991897583,11.340566
11,41,37,30.205798387527462,11.339896
39,22,7,29.94472551345825,7.886647
49,46,47,30.029715538024902,11.340355
42,12,49,29.895006895065308,11.340289
14,41,41,30.061164379119877,11.340414
27,33,29,29.4914493560791,11.340805
11,5,37,29.590383052825928,11.340769
21,32,23,29.3322651386261,11.340434
50,10,7,29.494628190994263,7.887598
37,10,51,29.417335271835327,11.341137
45,44,22,29.27501463890076,11.332059
51,12,45,29.54082226753235,11.341821
10,19,40,29.43946385383606,11.341014
13,23,24,29.20383048057556,11.339277
10,33,16,29.286824703216556,10.444105
51,33,9,29.045120000839237,8.427594
45,11,36,29.32603669166565,11.340781
14,8,39,29.123026609420776,11.340937
50,41,21,29.57186722755432,11.331564
52,49,25,29.478328227996823,11.340386
30,36,30,29.424686670303345,11.341207
29,10,50,29.62727522850037,11.340861
46,20,30,29.568623304367065,11.341138
21,14,41,29.942222356796265,11.341124
37,28,8,29.42665719985962,8.150862
46,4,4,28.615413427352905,7.378329
47,36,41,29.220645427703857,11.342171
19,17,7,29.06816291809082,7.890324
38,24,14,28.877295970916748,9.867261
50,48,45,29.34318256378174,11.341782
6,12,7,28.865614652633667,7.890464
46,50,51,28.831725358963013,11.341914
36,36,11,29.12165641784668,8.999529
23,29,24,28.926326751708984,11.34058
