var_0,var_1,var_2,var_3,time,memory
23,24,40,27,931.1481016,47.452837
50,31,19,38,950.8453672,47.433709
49,26,17,37,930.8459382,47.315184
36,21,17,6,953.0893543,38.329953
10,12,35,50,920.6984031,37.241419
52,35,31,9,950.4217348,44.062371
6,26,21,46,931.6668084,28.582859
25,11,25,34,945.3657629,47.453843
16,28,27,52,948.3851914,46.966852
23,39,14,25,949.6223509,44.911156
17,50,29,39,965.6513598,47.307563
49,36,47,8,949.3800015,42.165389
10,36,45,51,920.7735102,37.247713
37,40,29,26,970.6332858,47.461009
5,24,30,45,989.7088656,25.813487
14,6,28,35,960.5506022,44.922534
4,26,46,28,983.5649543,23.287514
48,27,13,48,961.0079563,43.020429
13,5,20,18,980.0297816,43.020247
21,50,39,18,1021.644507,47.457053
20,14,26,22,998.0966325,47.441113
50,35,39,28,988.9316864,47.460634
27,38,30,20,1008.295656,47.460114
44,10,14,34,1027.479845,44.91084
25,22,36,46,1021.386458,47.460606
32,7,37,13,1022.282238,47.433452
15,13,39,40,1050.436674,46.29307
11,45,15,40,1023.143749,39.193737
45,48,49,26,1037.347613,47.460391
15,40,22,46,1031.445906,46.296622
32,20,28,47,1023.345887,47.460822
42,9,51,34,1030.322609,47.460348
39,28,32,31,1065.287372,47.460708
50,4,24,48,999.3832209,47.46022
30,30,32,39,983.0886652,47.460811
23,12,33,7,942.3609467,40.235994
25,35,50,34,954.5393763,47.460863
48,33,51,18,956.522953,47.458828
11,10,38,34,913.8212633,39.182795
29,18,15,33,972.9608507,46.277786
11,25,6,50,927.4448228,28.690714
9,16,28,26,946.453079,35.282031
32,34,30,31,967.3738344,47.442384
7,37,43,27,941.4148803,31.040294
40,30,15,31,949.5191638,46.296624
11,8,14,12,980.3738244,39.171797
9,5,20,11,940.7932673,35.27767
39,33,31,41,951.0354605,47.441277
44,33,15,9,950.1814911,44.076468
25,27,31,45,924.4136453,47.460862
47,4,19,25,975.1635816,47.434383
15,16,41,27,938.8998334,46.297619
50,46,50,49,963.6936681,47.460926
29,6,49,50,912.0654664,47.452555
6,51,36,21,889.0734115,28.575337
21,29,15,4,917.2129304,34.415934
41,35,24,15,914.1502526,47.427243
47,40,46,28,907.8531711,47.458014
11,28,13,9,887.9242618,39.177276
21,46,7,41,888.3347631,30.919112
47,41,8,39,888.8493104,33.133423
48,13,14,5,871.76316,36.302565
46,26,41,20,856.8088472,47.449683
16,34,49,8,879.9723263,42.187475
9,19,40,33,832.0384483,35.282424
26,22,37,37,840.9022436,47.461139
20,14,40,39,884.3852839,47.436329
31,15,14,30,865.66627,44.923139
7,20,32,20,792.7549925,31.03488
43,43,21,34,832.9055498,47.444691
44,31,14,37,846.8421791,44.912853
36,12,41,50,808.0246282,47.458565
7,14,26,20,818.0210097,31.027024
33,12,39,51,668.7599409,47.460728
27,13,16,37,683.9102521,46.983803
28,31,5,26,674.4256644,26.705963
45,46,52,22,681.6970339,47.461598
9,39,10,17,677.3517301,35.303113
5,19,22,33,662.4447451,25.813471
16,7,7,22,665.0118759,30.938746
31,6,46,25,682.0084193,47.460802
47,28,9,44,670.6424913,35.230931
8,5,28,24,660.0184252,33.231732
15,52,18,42,675.76543,46.295757
17,23,26,16,688.0034955,47.325942
39,13,6,33,666.7401409,28.703161
31,9,12,7,669.2016301,40.198548
45,31,18,31,672.7951665,47.433619
31,9,21,43,665.8812578,47.456868
35,38,27,15,666.5264382,47.436334
43,45,37,52,684.4343014,47.461052
45,48,45,6,675.5976315,38.340701
30,41,35,50,695.2633746,47.460418
52,35,30,10,725.6799951,45.878638
37,48,14,20,710.6791139,44.908257
34,6,15,37,725.2068436,46.299224
15,41,30,8,710.1919575,42.187263
12,11,7,33,697.6716135,30.90768
24,45,9,35,701.2172058,35.230818
26,19,36,37,714.3631773,47.443056
19,48,23,31,711.9437535,47.415522
37,48,6,11,724.8118014,28.68877
33,43,12,29,716.4777963,41.088055
8,37,19,30,700.7694681,33.215681
25,12,13,38,704.7863262,43.007647
25,28,33,14,717.0762918,47.434403
5,33,16,22,712.5474799,25.812778
32,15,29,12,729.9689844,47.209998
34,52,29,25,710.3275666,47.439754
37,19,45,44,705.7461505,47.460691
23,27,28,11,710.9162059,46.773902
5,47,42,18,695.0266342,25.795813
27,5,19,16,708.6405361,47.434743
46,4,43,24,719.1223557,47.467011
48,44,5,17,723.0558395,26.708572
52,28,41,45,740.6222637,47.467458
4,18,16,30,707.2454426,23.2938
40,44,43,6,709.0461576,38.346054
7,30,39,42,710.8253763,31.038019
33,6,32,21,729.3340337,47.468109
47,17,40,41,733.4822142,47.468669
4,27,36,20,713.5211053,23.295062
19,19,37,28,732.8831005,47.442231
50,13,5,4,731.1544976,27.54329
24,46,30,36,731.5470352,47.463732
27,23,34,8,734.6264756,42.193386
43,47,21,50,753.8636646,47.466124
24,42,52,5,728.3334651,36.314124
4,51,28,18,718.1863487,23.290788
49,51,22,5,752.0297968,36.314106
44,37,9,38,741.3042514,35.238397
